distribution_id,distribution_type,mu,sigma,kl_divergence,sample_size,f_value
138,gaussian,-0.0626561757813221,1.52404225891382,0.24194911583324896,100,-0.5048680329266892
138,gaussian,-0.0626561757813221,1.52404225891382,0.24194911583324896,1000,-0.48154710112065247
139,gaussian,0.2477161340932184,1.883661044230657,0.6715538591819306,100,-0.5369568403153764
139,gaussian,0.2477161340932184,1.883661044230657,0.6715538591819306,1000,-0.5386051365852721
140,gaussian,-0.006809734779568893,0.7577475728281549,0.06451884448683409,100,-0.25824122473291283
140,gaussian,-0.006809734779568893,0.7577475728281549,0.06451884448683409,1000,-0.2809959648874388
141,gaussian,0.17402280708451504,1.2735640868189475,0.08430537276338601,100,-0.40096478920107637
141,gaussian,0.17402280708451504,1.2735640868189475,0.08430537276338601,1000,-0.41372132127284117
142,gaussian,-0.008575948934772537,0.8182483065261639,0.03539135424840856,100,-0.3196872264369052
142,gaussian,-0.008575948934772537,0.8182483065261639,0.03539135424840856,1000,-0.3011169564478051
143,gaussian,-0.11286868552537521,1.6362905567726744,0.352661238827342,100,-0.4866468919206274
143,gaussian,-0.11286868552537521,1.6362905567726744,0.352661238827342,1000,-0.4998304377448429
144,gaussian,0.281901609315736,1.260172458637502,0.1025029878898408,100,-0.41688858762516995
144,gaussian,0.281901609315736,1.260172458637502,0.1025029878898408,1000,-0.4270542230517935
145,gaussian,-0.16933664052010938,1.6919717690076117,0.41982710640953724,100,-0.5163641482949575
145,gaussian,-0.16933664052010938,1.6919717690076117,0.41982710640953724,1000,-0.5099999864945731
146,gaussian,0.16261269958989866,1.0169376558733896,0.013506729805944473,100,-0.3497499880042994
146,gaussian,0.16261269958989866,1.0169376558733896,0.013506729805944473,1000,-0.3513721753687214
147,gaussian,-0.43604377301884,1.7589073435979325,0.5772518189199263,100,-0.5402063960627939
147,gaussian,-0.43604377301884,1.7589073435979325,0.5772518189199263,1000,-0.5175077703558721
